id,user_name,work_load_per_day,team_work,work_category,work_speed,overall_quality_score,avg_workload,work_category_encoded,cluster,group_role
173,Cszvc21,"[5, 5, 3, 6, 3, 5, 6, 3, 7, 4, 4, 4, 4, 4, 4, 8, 2]",48.26,Mockup Design,53.67,21.75,4.529411764705882,8,2,Task finisher
174,Xaoxm44,"[7, 8, 9, 8, 4, 7, 9, 7, 6, 7, 8, 5, 7, 6, 7, 8]",78.53,Flowchart Design,26.57,74.18,7.0625,6,5,Helper
175,Hjpxf24,"[5, 4, 7, 7, 6, 5, 7, 7, 7, 4, 5, 4, 4, 6, 8, 6]",56.65,Presenting,45.08,36.34,5.75,12,6,Genelarist
176,Etgjo29,"[8, 8, 9, 10, 7, 8, 6, 5]",65.03,Script Writing,30.31,58.4,7.625,19,5,Helper
177,Bkfdk16,"[5, 4, 4, 3, 3]",33.53,Documentation,56.19,10.03,3.8,3,3,Lone Wolf
178,Jrzbo82,"[7, 7, 7, 6, 5, 8, 10, 8, 10, 7, 7, 9, 9, 10, 7]",84.55,Script Writing,10.79,87.94,7.8,19,1,Perfectionist
179,Ejwzr95,"[2, 5, 4, 0, 6]",40.6,Presentation Design,49.09,19.45,3.4,11,2,Task finisher
180,Vrnsb94,"[2, 3, 2, 3, 4, 4, 2, 4, 2, 3, 5, 1, 3, 3]",27.47,Flowchart Design,57.72,0.81,2.9285714285714284,6,3,Lone Wolf
181,Xdjyj38,"[0, 1, 2, 2, 2, 0, 4, 1, 4, 2, 1]",30.01,Reviewing,59.65,2.21,1.7272727272727273,18,3,Lone Wolf
182,Eroeq27,"[7, 10, 6, 10, 8, 8, 10, 9, 7, 9, 9, 10, 10, 9]",83.64,Report Formatting,1.72,88.36,8.714285714285714,16,4,Leader
183,Wlifq33,"[10, 9, 8, 9]",88.09,Translation,6.48,93.74,9.0,23,4,Leader
184,Ivkis27,"[8, 10, 10, 10, 8, 10, 9, 9, 7, 8]",87.22,Research,14.6,91.08,8.9,17,4,Leader
185,Jiufr62,"[9, 9, 8, 8, 10, 10, 8, 10, 10, 8, 10, 10, 8, 9, 8, 10, 7, 10, 10, 8]",90.26,Testing,4.54,91.61,9.0,22,4,Leader
186,Fkcth46,"[7, 5, 7, 7, 4, 5, 6, 6, 4, 6, 9, 6, 6, 7]",65.64,Drawing/Illustration,25.73,57.5,6.071428571428571,4,0,Balancer
187,Kgyqt80,"[3, 1, 0, 5, 3, 3, 4, 4, 3, 4, 4, 5, 3, 2, 5, 1, 2, 4, 4]",42.89,Diagram Creation,51.18,15.57,3.1578947368421053,2,3,Lone Wolf
188,Bonsu81,"[3, 6, 5, 3, 5, 5, 7, 5, 8]",54.19,Code Review,48.87,37.58,5.222222222222222,0,6,Genelarist
189,Jqgeg13,"[9, 7, 6, 4, 5, 9, 5, 7, 7, 6, 4, 6, 2, 5, 7, 6]",67.38,Research,42.22,51.34,5.9375,17,0,Balancer
190,Kvysi32,"[4, 0, 4, 0, 6]",38.29,Flowchart Design,61.64,3.99,2.8,6,3,Lone Wolf
191,Sdwgs98,"[3, 1, 5, 4]",45.42,Spreadsheet Work,37.56,27.61,3.25,20,2,Task finisher
192,Epfkx45,"[7, 9, 3, 8, 7, 5, 5, 4, 6, 8, 4, 8, 6, 10]",73.85,Documentation,25.67,58.6,6.428571428571429,3,5,Helper
193,Yiawg16,"[6, 6, 5, 5]",71.23,Graphic Design,32.86,58.16,5.5,7,0,Balancer
194,Xsans60,"[5, 4, 7, 3, 3, 3, 3, 3, 4, 5, 5, 2, 3, 3, 6, 4, 4]",38.5,Peer Review,47.39,20.98,3.9411764705882355,9,2,Task finisher
195,Usdnk31,"[5, 6, 3, 2, 6, 3, 4, 4, 4, 3, 5, 1]",37.45,Code Review,54.24,10.22,3.8333333333333335,0,3,Lone Wolf
196,Vrkaq88,"[10, 9, 10, 10, 6, 8, 8]",84.26,Script Writing,12.89,85.97,8.714285714285714,19,1,Perfectionist
197,Xikdm98,"[8, 7, 7, 10, 9, 10]",81.54,Code Review,14.7,84.05,8.5,0,1,Perfectionist
198,Blzdx57,"[4, 3, 0, 4, 3, 2, 5, 6, 2, 5, 3, 2, 4, 2, 3, 4, 3, 4]",36.28,Email Writing,58.49,4.61,3.2777777777777777,5,3,Lone Wolf
199,Fclhe28,"[9, 9, 7, 9, 9, 10, 7, 6, 9, 8, 9, 10, 8, 6, 9, 10, 8]",84.82,Diagram Creation,19.51,78.86,8.411764705882353,2,1,Perfectionist
200,Ablia50,"[3, 7, 8, 8, 5, 4, 4, 2, 5]",64.66,Flowchart Design,30.6,48.69,5.111111111111111,6,0,Balancer
201,Qxgga64,"[9, 9, 9]",90.26,Code Review,7.17,93.99,9.0,0,4,Leader
202,Jvcth14,"[4, 4, 7, 5, 1, 1, 2, 5, 5, 2, 3, 3, 3, 3, 2, 3, 2]",38.67,Research,54.68,13.21,3.235294117647059,17,3,Lone Wolf
203,Acema19,"[4, 6, 4, 0, 4, 4, 4, 6, 3, 1, 3, 2, 3]",27.97,Content Creation,47.43,2.47,3.3846153846153846,1,3,Lone Wolf
204,Ynyvo45,"[5, 4, 4, 4, 6, 8, 7, 6]",54.58,Translation,42.41,40.01,5.5,23,6,Genelarist
205,Apiau35,"[10, 10, 10, 10, 10, 10, 9, 7, 9, 9, 9, 8, 10, 10, 9, 9, 10, 8, 8, 10]",93.7,Spreadsheet Work,8.28,100.0,9.25,20,4,Leader
206,Wadke74,"[9, 10, 9, 10, 10, 8, 10, 10, 10, 7, 7, 10, 9, 9, 9, 10, 10]",95.41,Spreadsheet Work,14.66,97.47,9.235294117647058,20,4,Leader
207,Vgtvb91,"[7, 8, 5, 5]",63.6,Report Formatting,35.22,51.67,6.25,16,0,Balancer
208,Ntevc12,"[5, 5, 6, 4, 5, 7, 5, 1]",51.44,Writing,43.27,24.42,4.75,24,2,Task finisher
209,Snfbk21,"[5, 7, 8, 7, 7, 7, 8, 6, 10, 7, 9, 8, 8, 7, 7, 5, 9, 6, 5]",72.32,Reference Finding,34.14,60.69,7.157894736842105,15,5,Helper
210,Assps11,"[9, 7, 10, 7, 7, 9]",79.58,Report Formatting,17.11,79.64,8.166666666666666,16,1,Perfectionist
211,Pceeu23,"[3, 2, 2, 3, 4, 3, 5, 5, 1, 6, 8, 7, 6, 3, 5]",49.66,Research,49.34,27.65,4.2,17,2,Task finisher
212,Hicfh72,"[7, 7, 7, 3]",49.98,Presenting,50.23,35.95,6.0,12,6,Genelarist
213,Zrlcd64,"[4, 3, 5, 0, 3, 6, 2, 4, 5, 2, 6, 5, 3]",46.93,Storyboarding,43.81,19.82,3.6923076923076925,21,2,Task finisher
214,Grfow58,"[5, 7, 3, 5, 5, 8]",58.75,Problem Solving,43.37,42.78,5.5,13,6,Genelarist
215,Suhsc45,"[8, 8, 8, 7, 8, 10, 6, 8, 5, 5]",76.6,Peer Review,24.96,72.0,7.3,9,5,Helper
216,Uvmtx95,"[7, 10, 10, 9, 8, 9, 10, 9, 10, 8, 7, 8, 9, 10, 9, 10, 8]",89.49,Translation,9.56,99.39,8.882352941176471,23,4,Leader
217,Fjnlk72,"[7, 9, 7, 10, 6, 8, 6, 10, 5]",80.53,Documentation,8.29,73.99,7.555555555555555,3,1,Perfectionist
218,Zmuwp36,"[8, 10, 10, 8, 9, 10, 9, 10]",86.57,Report Formatting,0.1,94.12,9.25,16,4,Leader
219,Aqkxg46,"[1, 5, 3, 1, 2, 4, 3, 5, 4, 4, 2]",30.03,Email Writing,60.16,2.27,3.090909090909091,5,3,Lone Wolf
220,Udyjc70,"[8, 9, 10, 8, 8, 9, 6, 8, 7, 10, 8]",79.69,Report Formatting,27.85,72.3,8.272727272727273,16,1,Perfectionist
221,Nvpvb66,"[4, 6, 5, 7, 5]",48.69,Presenting,57.23,26.53,5.4,12,2,Task finisher
222,Aflno27,"[7, 3, 4, 6, 6, 6, 4, 5, 5, 4, 5, 3, 6, 5, 6, 7, 8, 6, 8, 9]",59.04,Programming,49.15,37.04,5.65,14,6,Genelarist
223,Vqouc57,"[0, 4, 3, 3, 6, 4, 4, 4, 6, 0]",44.32,Drawing/Illustration,55.69,17.9,3.4,4,3,Lone Wolf
224,Mxbjy94,"[8, 7, 6, 6, 6, 6, 6, 7]",70.27,Drawing/Illustration,23.11,59.06,6.5,4,5,Helper
225,Ifjhc77,"[5, 4, 3, 4, 6, 4, 3, 3, 1, 3, 6, 2, 4, 3, 5, 2, 3, 7]",45.99,Drawing/Illustration,50.58,24.48,3.7777777777777777,4,2,Task finisher
226,Cqkut41,"[8, 4, 5, 8, 5, 3, 7, 2, 5, 4, 4]",52.88,Email Writing,35.1,36.51,5.0,5,6,Genelarist
227,Ttubn24,"[8, 7, 7, 6, 9]",72.21,Writing,27.34,68.83,7.4,24,5,Helper
228,Wsdni73,"[7, 7, 9, 10, 8, 9, 8, 5, 8]",71.45,Code Review,17.77,70.01,7.888888888888889,0,5,Helper
229,Xkwxl65,"[2, 4, 7, 3, 6, 5, 5, 6, 4, 7, 4, 6, 5, 3, 6, 3, 6, 5, 5, 5]",54.7,Flowchart Design,44.0,34.94,4.85,6,6,Genelarist
230,Azzwa27,"[5, 5, 4]",54.42,Presentation Design,47.52,32.75,4.666666666666667,11,6,Genelarist
231,Wumtb38,"[10, 8, 9, 10, 9, 9, 6, 7, 10, 10, 8, 10, 10]",88.87,Script Writing,0.1,90.07,8.923076923076923,19,4,Leader
232,Lxljw90,"[5, 10, 7, 7, 7, 7, 7, 7, 5, 5]",71.96,Graphic Design,22.59,61.06,6.7,7,5,Helper
233,Htjex90,"[4, 4, 3, 3, 2, 4, 1, 1, 0, 2, 4, 3, 3, 2]",34.2,Graphic Design,48.17,7.75,2.5714285714285716,7,3,Lone Wolf
234,Eyjzc22,"[7, 7, 3, 4, 4]",57.83,Presenting,32.6,48.4,5.0,12,6,Genelarist
235,Jhkfc86,"[5, 5, 6, 5, 6]",49.22,Email Writing,42.43,33.43,5.4,5,6,Genelarist
236,Kawnr71,"[8, 9, 9, 9, 8, 9, 10, 9]",84.03,Flowchart Design,3.63,85.1,8.875,6,4,Leader
237,Vhpkq78,"[3, 2, 3, 3, 6, 3, 6, 4, 2, 3, 7, 4, 4, 6, 4]",54.88,Graphic Design,40.59,31.03,4.0,7,6,Genelarist
238,Tlfmc59,"[6, 4, 3, 5, 6, 5, 8, 6, 5, 4, 7, 9, 7, 6]",55.15,Peer Review,32.03,44.84,5.785714285714286,9,0,Balancer
239,Kanfz81,"[5, 9, 6, 7, 10, 5, 6, 6, 8, 7, 7, 6, 10, 8, 6, 5, 7]",78.04,Research,17.9,66.75,6.9411764705882355,17,5,Helper
240,Hgtdf80,"[8, 7, 9, 6, 8]",68.32,Drawing/Illustration,31.45,55.08,7.6,4,5,Helper
241,Hxmds70,"[7, 5, 6, 5, 6, 4, 7, 5, 3]",67.09,Graphic Design,23.08,48.9,5.333333333333333,7,0,Balancer
242,Rawii66,"[10, 7, 8, 7, 10, 8, 10, 9, 10, 10, 10, 9, 10, 7, 9, 7, 9, 9, 10]",91.92,Problem Solving,7.21,94.88,8.894736842105264,13,4,Leader
243,Fgfgg30,"[4, 2, 4, 4, 5, 8, 8, 2, 4, 5]",45.4,Graphic Design,41.58,26.49,4.6,7,2,Task finisher
244,Zouxq78,"[8, 7, 5, 7, 10, 8, 8, 5, 7, 10, 9, 9]",84.98,Reference Finding,10.14,82.16,7.75,15,1,Perfectionist
245,Jmbju62,"[10, 8, 5, 8, 8, 10, 6, 9, 6, 8, 7, 9, 6, 7]",75.12,Spreadsheet Work,15.75,78.81,7.642857142857143,20,1,Perfectionist
246,Xvfzw16,"[9, 8, 10, 7, 9, 9, 7, 8, 10, 8, 7, 7, 8, 6, 9]",84.34,Translation,18.97,77.58,8.133333333333333,23,1,Perfectionist
247,Ybewt42,"[8, 10, 10, 7, 10, 8, 8, 10, 9, 10, 9, 7, 9, 7, 10, 7, 9, 7, 8]",92.08,Code Review,12.91,87.4,8.578947368421053,0,4,Leader
248,Zzasb98,"[3, 6, 5, 3, 3, 2]",47.83,Drawing/Illustration,38.5,35.2,3.6666666666666665,4,2,Task finisher
249,Lfhbt16,"[2, 4, 4, 3]",29.17,Testing,53.59,3.23,3.25,22,3,Lone Wolf
250,Tglmv94,"[6, 5, 7, 6, 5, 9, 7, 7, 6, 5]",65.22,Script Writing,25.09,56.51,6.3,19,0,Balancer
251,Gosyv25,"[2, 2, 4, 2, 4, 5, 2, 1, 4, 0, 2, 5, 6, 2, 3, 2, 2, 5, 5]",34.75,Code Review,49.48,0.77,3.0526315789473686,0,3,Lone Wolf
252,Ixpnp36,"[3, 4, 4]",30.94,Graphic Design,61.0,1.41,3.6666666666666665,7,3,Lone Wolf
253,Wucez61,"[4, 6, 6, 5, 5, 5, 4, 6, 3, 3, 3, 6]",49.35,Peer Review,57.7,24.92,4.666666666666667,9,2,Task finisher
254,Tvcgc95,"[5, 5, 5, 4, 5, 3, 6, 6, 5, 5, 5, 6, 6, 2, 4, 6, 6]",57.32,Script Writing,33.71,41.23,4.9411764705882355,19,6,Genelarist
255,Viyux85,"[5, 5, 6, 7, 9, 9, 5, 4, 7, 4, 4, 7, 5, 3, 5, 5, 7, 5, 5]",58.3,Documentation,41.45,40.45,5.631578947368421,3,6,Genelarist
256,Lsqjh27,"[9, 9, 6, 7, 10, 8, 10]",90.61,Problem Solving,10.06,91.08,8.428571428571429,13,4,Leader
257,Geosb89,"[3, 3, 1, 4, 2, 4, 4]",31.67,Documentation,61.59,0.0,3.0,3,3,Lone Wolf
258,Ulcnq98,"[4, 7, 5, 7, 8, 5, 5, 5, 5, 4, 3, 8, 7, 1, 3, 6]",55.55,Peer Review,34.76,43.08,5.1875,9,6,Genelarist
259,Xbdoo97,"[8, 10, 10]",91.18,Presenting,2.63,99.75,9.333333333333334,12,4,Leader
260,Ipuqh88,"[8, 5, 8, 8, 6, 7, 9, 10, 9, 8]",77.59,Translation,24.08,71.43,7.8,23,5,Helper
261,Cswpv43,"[4, 4, 5, 4, 4, 5, 5, 4, 4, 4, 5, 4, 6, 9, 5, 3, 6, 5, 4, 2]",42.34,Problem Solving,47.95,23.62,4.6,13,2,Task finisher
262,Boeky68,"[8, 10, 10, 8, 10, 6, 10, 6, 6]",85.18,Report Formatting,18.78,80.64,8.222222222222221,16,1,Perfectionist
263,Hbqpl17,"[7, 2, 10, 7, 6, 8, 7, 5, 7, 7, 8, 7, 6, 6, 7, 7, 8]",64.7,Report Formatting,29.82,54.96,6.764705882352941,16,0,Balancer
264,Qbgjq69,"[10, 8, 10, 8]",78.65,Drawing/Illustration,19.58,72.66,9.0,4,1,Perfectionist
265,Xwexw54,"[9, 9, 9, 8]",75.59,Peer Review,22.04,75.13,8.75,9,1,Perfectionist
266,Koiij15,"[10, 8, 9, 8, 6, 6]",66.37,Writing,20.49,57.21,7.833333333333333,24,5,Helper
267,Vmozx89,"[2, 4, 1, 2, 6, 3, 3, 7, 5, 4]",37.4,Reference Finding,52.53,11.93,3.7,15,3,Lone Wolf
268,Sroth57,"[2, 3, 2, 5, 2, 3, 3, 3, 2, 4, 4, 4, 1, 4, 2]",31.95,Script Writing,59.99,4.66,2.933333333333333,19,3,Lone Wolf
269,Dqzdv98,"[7, 6, 5, 3, 5, 4, 3, 1, 5, 4, 6, 7, 4, 5, 3, 6, 6, 5]",51.5,Report Formatting,46.08,32.67,4.722222222222222,16,6,Genelarist
270,Pbxsn69,"[5, 5, 6, 4, 7, 4, 7, 6, 4, 6, 6, 5, 4, 7, 5, 7, 6, 4]",52.44,Testing,36.58,40.83,5.444444444444445,22,6,Genelarist
271,Ccqmj84,"[6, 3, 5, 7, 3, 6, 7, 5, 6, 5, 2, 6, 8, 6, 6, 6, 4, 6, 4]",56.53,Mockup Design,25.08,44.4,5.315789473684211,8,0,Balancer
272,Zxzwc50,"[8, 5, 10]",86.37,Email Writing,20.78,81.57,7.666666666666667,5,1,Perfectionist
273,Obbmy72,"[5, 3, 5, 1, 4, 5, 3, 2, 3, 4, 4, 2, 2, 1, 5, 2]",31.24,Mockup Design,48.65,8.7,3.1875,8,3,Lone Wolf
274,Adzgv62,"[10, 9, 10, 8, 10]",87.64,Content Creation,0.1,93.21,9.4,1,4,Leader
275,Xprya96,"[6, 6, 4, 5, 7, 7, 5]",56.12,Email Writing,41.17,33.66,5.714285714285714,5,6,Genelarist
276,Gsofm52,"[8, 5, 3]",47.06,Graphic Design,50.83,22.57,5.333333333333333,7,2,Task finisher
277,Cbkdy81,"[5, 5, 3, 2, 2, 2, 4, 4, 4, 1, 7, 3, 4, 5, 6, 2, 5, 4, 2, 3]",38.21,Flowchart Design,40.94,18.13,3.65,6,2,Task finisher
278,Bwrex71,"[7, 9, 8, 9, 8, 9, 9, 10, 8, 9, 7, 7]",85.76,Flowchart Design,8.51,90.96,8.333333333333334,6,4,Leader
279,Mklme56,"[4, 5, 5, 5, 6, 4, 6, 5, 6, 5, 6, 5, 3, 7, 5, 4, 3, 4]",57.5,Mockup Design,27.29,43.98,4.888888888888889,8,0,Balancer
280,Hrarv94,"[5, 3, 2, 5, 5, 5, 5, 4, 5, 6, 5, 7, 4, 6, 3, 2, 3, 6]",58.19,Report Formatting,43.4,34.62,4.5,16,6,Genelarist
281,Mlweg26,"[1, 3, 3, 3, 2, 0, 6, 5, 1, 3, 5, 3, 1, 3, 2, 4, 3, 4]",36.65,Programming,49.21,10.0,2.888888888888889,14,3,Lone Wolf
282,Preyw40,"[10, 9, 10, 9]",94.34,Reviewing,6.16,100.0,9.5,18,4,Leader
283,Nejjv95,"[4, 3, 9, 6, 1, 6, 2]",46.85,Graphic Design,45.12,21.07,4.428571428571429,7,2,Task finisher
284,Avisc87,"[4, 5, 6, 4, 8, 4, 4, 4, 5, 6]",54.3,Spreadsheet Work,36.24,35.38,5.0,20,6,Genelarist
285,Kyohj13,"[4, 5, 2, 6, 6, 5, 6, 8, 6, 7, 6, 5, 7, 7, 6, 5, 5, 7, 7]",61.76,Writing,35.41,48.45,5.7894736842105265,24,0,Balancer
286,Khxki76,"[5, 5, 6, 5, 7, 7, 6, 5, 6, 6, 7, 7, 6, 6, 5, 5, 5, 7]",55.26,Reviewing,37.03,44.86,5.888888888888889,18,6,Genelarist
287,Udsoq25,"[8, 8, 6, 6, 7, 8, 6, 7, 5, 9, 8, 6, 4]",70.34,Flowchart Design,32.14,62.55,6.769230769230769,6,5,Helper
288,Ygpxg93,"[7, 6, 7, 8, 7]",66.46,Planning,24.43,59.87,7.0,10,5,Helper
289,Oizgw48,"[6, 4, 4, 5, 4, 4, 4, 5, 5, 1, 8, 5, 3, 3, 3, 3, 4, 5, 4, 5]",50.35,Flowchart Design,52.48,26.92,4.25,6,2,Task finisher
290,Orfjg54,"[8, 7, 8, 9, 8, 7, 4, 10]",68.62,Code Review,30.03,67.75,7.625,0,5,Helper
291,Qikxf19,"[5, 9, 8, 7, 7]",67.64,Problem Solving,30.21,64.38,7.2,13,5,Helper
292,Uksvt47,"[6, 6, 5, 8, 6, 7, 7, 6, 9, 6]",69.46,Translation,16.33,68.16,6.6,23,5,Helper
293,Zwdxo83,"[3, 7, 8, 5, 4]",59.32,Programming,40.56,42.94,5.4,14,6,Genelarist
294,Mocls16,"[7, 5, 6, 4, 6, 0, 9, 5, 7, 4]",48.17,Reference Finding,40.39,28.07,5.3,15,6,Genelarist
295,Hfzgv60,"[6, 8, 9, 7, 8, 8, 10, 4, 6, 5]",72.93,Content Creation,19.36,63.11,7.1,1,5,Helper
296,Nnfxb39,"[10, 8, 9, 9, 10, 9, 9, 10, 6, 10, 8, 7, 10, 8, 10]",90.14,Diagram Creation,6.24,91.83,8.866666666666667,2,4,Leader
297,Yrqjl25,"[5, 1, 2]",28.18,Research,59.16,4.72,2.6666666666666665,17,3,Lone Wolf
298,Ibmfg55,"[2, 4, 3, 3, 1, 4, 4, 2, 3, 5, 4, 4]",39.19,Spreadsheet Work,50.03,16.68,3.25,20,3,Lone Wolf
299,Dunkx19,"[9, 5, 7, 7, 6, 9, 8, 8, 10, 5, 8, 6, 7, 7, 7, 5, 4, 7, 8, 9]",62.24,Graphic Design,29.15,56.1,7.1,7,0,Balancer
300,Kfuud85,"[10, 9, 10, 8, 9, 9, 9, 4, 8, 10, 10, 8, 7, 9, 9, 9, 10, 9]",88.29,Mockup Design,15.48,83.89,8.722222222222221,8,1,Perfectionist
301,Hlmrk72,"[5, 4, 7]",56.17,Presentation Design,39.28,34.66,5.333333333333333,11,6,Genelarist
302,Pfpwu24,"[9, 5, 9, 9, 6, 7, 9, 8, 9, 5, 8, 10, 9, 10, 8]",80.34,Presenting,13.55,81.24,8.066666666666666,12,1,Perfectionist
303,Gjvyc86,"[7, 10, 10, 8, 7, 8, 9, 8, 10, 10, 9, 10, 8, 10]",89.36,Peer Review,14.39,89.48,8.857142857142858,9,4,Leader
304,Kazeg98,"[8, 8, 7, 8, 8, 9, 9, 9, 7, 7, 10, 10, 9, 9]",86.71,Writing,4.76,91.82,8.428571428571429,24,4,Leader
305,Depbo30,"[5, 9, 7, 8, 7]",77.19,Script Writing,28.2,72.27,7.2,19,5,Helper
306,Bgbwk94,"[3, 8, 8, 5, 6, 4, 6, 7, 3]",62.46,Presentation Design,23.96,50.87,5.555555555555555,11,0,Balancer
307,Rtfja39,"[5, 7, 8, 7, 7, 6, 8, 5]",66.76,Programming,21.7,65.29,6.625,14,5,Helper
308,Ibmgo65,"[7, 9, 10, 9, 10, 5, 8, 8, 8, 10]",82.97,Reviewing,18.16,85.0,8.4,18,1,Perfectionist
309,Jpmto63,"[7, 10, 10, 9, 7, 6, 9, 10, 9, 10, 8]",93.25,Documentation,6.18,94.04,8.636363636363637,3,4,Leader
310,Ssdhw56,"[5, 5, 6, 7, 5, 3, 4, 5, 4, 6, 3]",60.74,Spreadsheet Work,39.02,48.42,4.818181818181818,20,6,Genelarist
311,Vbiqv11,"[8, 6, 8, 6, 8, 7, 5]",66.07,Peer Review,28.93,62.77,6.857142857142857,9,5,Helper
312,Mjayk31,"[3, 5, 5, 4, 6, 6, 5, 4, 5, 4, 6]",57.49,Reference Finding,32.61,49.59,4.818181818181818,15,6,Genelarist
313,Jjozy91,"[9, 9, 9, 9, 6, 7, 8, 9]",84.47,Reviewing,14.99,88.24,8.25,18,1,Perfectionist
314,Eureq62,"[5, 7, 9, 5, 6, 8, 5, 6, 6, 7]",72.25,Mockup Design,19.73,64.02,6.4,8,5,Helper
315,Eemus31,"[8, 4, 4]",56.22,Content Creation,35.66,43.11,5.333333333333333,1,6,Genelarist
316,Rotuv67,"[6, 6, 7, 7, 6]",62.42,Report Formatting,38.83,44.84,6.4,16,0,Balancer
317,Nlaxb22,"[9, 7, 10, 8, 10, 9, 10, 9, 10, 10, 7, 10, 9, 8, 8, 5, 10]",88.55,Storyboarding,10.88,99.81,8.764705882352942,21,4,Leader
318,Loudp14,"[6, 4, 2, 6, 1, 6, 5, 1, 5, 2, 4, 5, 1, 7, 5, 5, 5, 3]",47.15,Testing,39.9,22.93,4.055555555555555,22,2,Task finisher
319,Xhmey48,"[2, 3, 0, 3]",32.75,Drawing/Illustration,58.15,3.79,2.0,4,3,Lone Wolf
320,Loeob25,"[9, 10, 10, 10, 8, 9, 10, 8, 10, 10]",91.98,Flowchart Design,14.32,95.2,9.4,6,4,Leader
321,Byskr92,"[10, 8, 6]",77.61,Documentation,21.34,72.06,8.0,3,1,Perfectionist
322,Hucpl63,"[4, 6, 4, 5, 1, 4, 5, 3, 4, 4, 1, 8]",34.96,Programming,59.08,14.23,4.083333333333333,14,3,Lone Wolf
323,Brnvk97,"[7, 7, 4, 9, 8, 5, 6, 8]",74.95,Mockup Design,24.87,64.04,6.75,8,5,Helper
324,Ejfat12,"[9, 7, 9, 10, 10, 8, 9, 9, 8, 10, 9, 8]",89.62,Flowchart Design,8.21,98.62,8.833333333333334,6,4,Leader
325,Ygben43,"[8, 9, 8, 9, 7, 7, 6, 8, 8, 6, 3, 8, 10, 6, 10, 6, 7, 9]",71.71,Reviewing,26.2,62.91,7.5,18,5,Helper
326,Wbtzf53,"[6, 6, 7, 8, 4, 9, 9, 7, 9, 6, 4]",68.34,Reviewing,28.34,54.64,6.818181818181818,18,5,Helper
327,Iqxjv78,"[3, 4, 5, 3, 6]",52.16,Planning,51.78,25.8,4.2,10,2,Task finisher
328,Ekhku69,"[7, 4, 10, 6, 7, 7, 8, 8, 8, 5, 5, 8, 7, 6, 10, 5, 8, 8, 4, 10]",75.06,Diagram Creation,18.43,70.03,7.05,2,5,Helper
329,Szdfn67,"[1, 3, 5, 2, 3, 5, 3, 2, 4, 2, 4, 3, 5, 3, 4, 1, 3, 3, 3, 2]",32.76,Script Writing,61.85,0.65,3.05,19,3,Lone Wolf
330,Jugsg74,"[3, 5, 3, 3, 4]",33.3,Problem Solving,59.28,4.5,3.6,13,3,Lone Wolf
331,Qpszd67,"[7, 5, 8, 3, 8, 4, 6, 7, 4, 9]",62.66,Graphic Design,34.58,56.47,6.1,7,0,Balancer
332,Yavgn77,"[5, 7, 7, 5, 8, 9]",62.39,Research,31.68,55.19,6.833333333333333,17,0,Balancer
333,Maehd55,"[2, 1, 4, 3, 2, 1, 2, 2, 3, 5, 3, 0, 3, 4, 1]",30.78,Spreadsheet Work,57.44,0.0,2.4,20,3,Lone Wolf
334,Itpgx69,"[8, 10, 10, 9, 8, 10, 10, 10, 10, 9]",91.79,Storyboarding,21.32,89.37,9.4,21,4,Leader
335,Wfxmk88,"[3, 5, 2, 4, 3, 2, 6, 3, 5, 5, 5, 6, 4, 2, 2, 6, 6, 2]",49.87,Graphic Design,36.81,28.16,3.9444444444444446,7,6,Genelarist
336,Ftuhp93,"[5, 7, 7, 10, 10, 9, 8, 7, 6, 7, 8, 6, 7, 5, 5, 8, 9]",76.33,Drawing/Illustration,22.04,75.91,7.294117647058823,4,5,Helper
337,Xghlc53,"[6, 5, 4, 6, 6, 7, 7, 6, 8, 4, 7, 6]",70.31,Peer Review,23.6,65.77,6.0,9,5,Helper
338,Wmicy35,"[4, 2, 2, 6, 5, 1, 0, 3, 3]",30.94,Spreadsheet Work,55.16,3.4,2.888888888888889,20,3,Lone Wolf
339,Aqjel85,"[0, 5, 4, 2, 4, 4, 6, 4, 5, 6, 3, 2, 5, 3, 4, 5, 6]",46.75,Graphic Design,48.23,22.73,4.0,7,2,Task finisher
340,Fsgen79,"[7, 7, 10, 10, 10, 9, 7, 6]",77.13,Script Writing,22.96,79.14,8.25,19,1,Perfectionist
341,Kvvmz90,"[8, 9, 6, 9, 8, 8, 10, 9, 10, 8, 7, 10, 8, 7, 7, 7, 10, 10]",85.35,Storyboarding,18.01,84.53,8.38888888888889,21,1,Perfectionist
342,Eerwv38,"[7, 9, 7, 7, 10, 10, 8, 10, 7, 8, 9, 6, 8, 10]",80.68,Problem Solving,23.8,76.25,8.285714285714286,13,1,Perfectionist
343,Ppfsz98,"[8, 7, 10, 6, 10, 10, 10, 10, 9, 9, 8, 9]",86.55,Storyboarding,6.96,96.48,8.833333333333334,21,4,Leader
344,Nopky24,"[3, 4, 7, 5, 5, 4, 3, 6, 6, 6]",55.65,Email Writing,49.01,43.33,4.9,5,6,Genelarist
345,Jensh10,"[5, 1, 2, 3, 6, 9, 4, 6, 1, 2, 2, 2, 4, 3, 5, 3, 1]",32.35,Drawing/Illustration,59.35,13.35,3.4705882352941178,4,3,Lone Wolf
346,Whguv44,"[9, 9, 5, 7, 8, 9, 9, 9, 10, 10, 9, 10, 7]",93.17,Mockup Design,7.15,90.47,8.538461538461538,8,4,Leader
347,Gnggh73,"[4, 1, 5, 4, 5, 3, 5, 3, 3, 8, 5, 4, 6, 5, 5]",42.41,Research,38.96,24.71,4.4,17,2,Task finisher
